year,region,country,sector,finance_type,value_usd_mn
2016,South Asia,Bangladesh,Renewable Energy,Non-Concessional Loan,162.68
2016,South Asia,Pakistan,Renewable Energy,Equity,620.96
2016,South Asia,Pakistan,Renewable Energy,Equity,46.28
2016,South Asia,Sri Lanka,Renewable Energy,Bond,12.33
2016,South Asia,Nepal,Renewable Energy,Grant,77.3
2016,South Asia,Nepal,Renewable Energy,Grant,120.21
2016,East Asia & Pacific,China,Renewable Energy,Equity,276.69
2016,East Asia & Pacific,China,Renewable Energy,Equity,49.17
2016,East Asia & Pacific,Indonesia,Renewable Energy,Grant,394.34
2016,East Asia & Pacific,Vietnam,Renewable Energy,Non-Concessional Loan,85.7
2016,East Asia & Pacific,Philippines,Renewable Energy,Equity,348.06
2016,East Asia & Pacific,Philippines,Renewable Energy,Non-Concessional Loan,119.62
2016,East Asia & Pacific,Thailand,Renewable Energy,Equity,349.83
2016,Latin America & Caribbean,Brazil,Renewable Energy,Equity,525.51
2016,Latin America & Caribbean,Brazil,Renewable Energy,Bond,136.23
2016,Latin America & Caribbean,Mexico,Renewable Energy,Equity,483.03
2016,Latin America & Caribbean,Mexico,Renewable Energy,Equity,215.14
2016,Latin America & Caribbean,Colombia,Renewable Energy,Equity,204.19
2016,Latin America & Caribbean,Colombia,Renewable Energy,Grant,410.14
2016,Latin America & Caribbean,Chile,Renewable Energy,Bond,169.3
2016,Latin America & Caribbean,Argentina,Renewable Energy,Bond,355.13
2016,Latin America & Caribbean,Argentina,Renewable Energy,Equity,151.57
2016,Europe & Central Asia,Turkey,Renewable Energy,Grant,136.17
2016,Europe & Central Asia,Ukraine,Renewable Energy,Equity,7.04
2016,Europe & Central Asia,Poland,Renewable Energy,Equity,222.86
2016,Europe & Central Asia,Poland,Renewable Energy,Non-Concessional Loan,123.47
2016,Europe & Central Asia,Romania,Renewable Energy,Equity,622.54
2016,Europe & Central Asia,Kazakhstan,Renewable Energy,Bond,91.81
2016,Europe & Central Asia,Kazakhstan,Renewable Energy,Equity,158.13
2016,Middle East & North Africa,Morocco,Renewable Energy,Non-Concessional Loan,45.5
2016,Middle East & North Africa,Morocco,Renewable Energy,Non-Concessional Loan,393.54
2016,Middle East & North Africa,Egypt,Renewable Energy,Equity,603.88
2016,Middle East & North Africa,Jordan,Renewable Energy,Equity,142.3
2016,Middle East & North Africa,Jordan,Renewable Energy,Grant,87.4
2016,Middle East & North Africa,Tunisia,Renewable Energy,Bond,913.38
2017,Sub-Saharan Africa,Kenya,Renewable Energy,Bond,66.2
2017,Sub-Saharan Africa,Kenya,Renewable Energy,Non-Concessional Loan,363.15
2017,Sub-Saharan Africa,Nigeria,Renewable Energy,Equity,125.94
2017,Sub-Saharan Africa,South Africa,Renewable Energy,Grant,12.84
2017,Sub-Saharan Africa,South Africa,Renewable Energy,Non-Concessional Loan,740.23
2017,Sub-Saharan Africa,Ethiopia,Renewable Energy,Non-Concessional Loan,158.93
2017,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,64.86
2017,Sub-Saharan Africa,Ghana,Renewable Energy,Non-Concessional Loan,9.4
2017,Sub-Saharan Africa,Tanzania,Renewable Energy,Non-Concessional Loan,58.1
2017,Sub-Saharan Africa,Tanzania,Renewable Energy,Non-Concessional Loan,74.59
2017,South Asia,India,Renewable Energy,Equity,117.09
2017,South Asia,Bangladesh,Renewable Energy,Grant,731.53
2017,South Asia,Pakistan,Renewable Energy,Equity,25.63
2017,South Asia,Sri Lanka,Renewable Energy,Bond,169.45
2017,South Asia,Sri Lanka,Renewable Energy,Bond,49.32
2017,South Asia,Nepal,Renewable Energy,Grant,67.64
2017,South Asia,Nepal,Renewable Energy,Bond,192.69
2017,East Asia & Pacific,China,Renewable Energy,Non-Concessional Loan,192.68
2017,East Asia & Pacific,Indonesia,Renewable Energy,Equity,621.89
2017,East Asia & Pacific,Indonesia,Renewable Energy,Bond,374.25
2017,East Asia & Pacific,Vietnam,Renewable Energy,Non-Concessional Loan,352.07
2017,East Asia & Pacific,Philippines,Renewable Energy,Bond,146.37
2017,East Asia & Pacific,Philippines,Renewable Energy,Non-Concessional Loan,269.82
2017,East Asia & Pacific,Thailand,Renewable Energy,Equity,274.57
2017,East Asia & Pacific,Thailand,Renewable Energy,Bond,41.11
2017,Latin America & Caribbean,Brazil,Renewable Energy,Equity,603.0
2017,Latin America & Caribbean,Mexico,Renewable Energy,Non-Concessional Loan,137.33
2017,Latin America & Caribbean,Mexico,Renewable Energy,Equity,165.22
2017,Latin America & Caribbean,Colombia,Renewable Energy,Bond,316.2
2017,Latin America & Caribbean,Colombia,Renewable Energy,Bond,13.69
2017,Latin America & Caribbean,Chile,Renewable Energy,Equity,64.65
2017,Latin America & Caribbean,Chile,Renewable Energy,Bond,927.45
2017,Latin America & Caribbean,Argentina,Renewable Energy,Equity,79.32
2017,Latin America & Caribbean,Argentina,Renewable Energy,Grant,66.46
2017,Europe & Central Asia,Turkey,Renewable Energy,Non-Concessional Loan,8.44
2017,Europe & Central Asia,Ukraine,Renewable Energy,Bond,98.56
2017,Europe & Central Asia,Ukraine,Renewable Energy,Bond,130.78
2017,Europe & Central Asia,Poland,Renewable Energy,Non-Concessional Loan,96.91
2017,Europe & Central Asia,Poland,Renewable Energy,Equity,639.48
2017,Europe & Central Asia,Romania,Renewable Energy,Equity,26.96
2017,Europe & Central Asia,Romania,Renewable Energy,Equity,67.13
2017,Europe & Central Asia,Kazakhstan,Renewable Energy,Bond,663.18
2017,Europe & Central Asia,Kazakhstan,Renewable Energy,Non-Concessional Loan,129.56
2017,Middle East & North Africa,Morocco,Renewable Energy,Equity,119.86
2017,Middle East & North Africa,Morocco,Renewable Energy,Grant,430.65
2017,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,192.09
2017,Middle East & North Africa,Jordan,Renewable Energy,Equity,111.84
2017,Middle East & North Africa,Jordan,Renewable Energy,Non-Concessional Loan,357.71
2017,Middle East & North Africa,Tunisia,Renewable Energy,Non-Concessional Loan,279.57
2017,Middle East & North Africa,Tunisia,Renewable Energy,Equity,149.22
2018,Sub-Saharan Africa,Kenya,Renewable Energy,Equity,1128.47
2018,Sub-Saharan Africa,Nigeria,Renewable Energy,Grant,102.85
2018,Sub-Saharan Africa,Nigeria,Renewable Energy,Non-Concessional Loan,91.79
2018,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,220.6
2018,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,407.05
2018,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,1248.33
2018,Sub-Saharan Africa,Ghana,Renewable Energy,Non-Concessional Loan,197.24
2018,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,349.66
2018,Sub-Saharan Africa,Tanzania,Renewable Energy,Grant,107.34
2018,South Asia,India,Renewable Energy,Non-Concessional Loan,194.29
2018,South Asia,India,Renewable Energy,Bond,229.91
2018,South Asia,Bangladesh,Renewable Energy,Grant,406.53
2018,South Asia,Pakistan,Renewable Energy,Equity,295.28
2018,South Asia,Sri Lanka,Renewable Energy,Equity,803.25
2018,South Asia,Sri Lanka,Renewable Energy,Equity,80.87
2018,South Asia,Nepal,Renewable Energy,Bond,197.41
2018,South Asia,Nepal,Renewable Energy,Equity,35.38
2018,East Asia & Pacific,China,Renewable Energy,Equity,368.11
2018,East Asia & Pacific,Indonesia,Renewable Energy,Bond,1.46
2018,East Asia & Pacific,Indonesia,Renewable Energy,Non-Concessional Loan,42.01
2018,East Asia & Pacific,Vietnam,Renewable Energy,Bond,87.46
2018,East Asia & Pacific,Vietnam,Renewable Energy,Bond,67.96
2018,East Asia & Pacific,Philippines,Renewable Energy,Equity,43.77
2018,East Asia & Pacific,Philippines,Renewable Energy,Equity,1659.23
2018,East Asia & Pacific,Thailand,Renewable Energy,Grant,126.64
2018,Latin America & Caribbean,Brazil,Renewable Energy,Bond,574.96
2018,Latin America & Caribbean,Mexico,Renewable Energy,Bond,178.86
2018,Latin America & Caribbean,Colombia,Renewable Energy,Non-Concessional Loan,347.51
2018,Latin America & Caribbean,Colombia,Renewable Energy,Non-Concessional Loan,534.54
2018,Latin America & Caribbean,Chile,Renewable Energy,Non-Concessional Loan,191.63
2018,Latin America & Caribbean,Chile,Renewable Energy,Equity,277.49
2018,Latin America & Caribbean,Argentina,Renewable Energy,Grant,57.28
2018,Latin America & Caribbean,Argentina,Renewable Energy,Grant,446.82
2018,Europe & Central Asia,Turkey,Renewable Energy,Grant,524.77
2018,Europe & Central Asia,Ukraine,Renewable Energy,Bond,255.69
2018,Europe & Central Asia,Ukraine,Renewable Energy,Bond,30.47
2018,Europe & Central Asia,Poland,Renewable Energy,Bond,244.09
2018,Europe & Central Asia,Romania,Renewable Energy,Bond,813.91
2018,Europe & Central Asia,Romania,Renewable Energy,Equity,46.85
2018,Europe & Central Asia,Kazakhstan,Renewable Energy,Bond,830.65
2018,Middle East & North Africa,Morocco,Renewable Energy,Grant,307.58
2018,Middle East & North Africa,Egypt,Renewable Energy,Equity,0.01
2018,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,79.55
2018,Middle East & North Africa,Jordan,Renewable Energy,Bond,782.39
2018,Middle East & North Africa,Tunisia,Renewable Energy,Non-Concessional Loan,28.61
2019,Sub-Saharan Africa,Kenya,Renewable Energy,Bond,1465.62
2019,Sub-Saharan Africa,Kenya,Renewable Energy,Non-Concessional Loan,207.13
2019,Sub-Saharan Africa,Nigeria,Renewable Energy,Equity,1526.23
2019,Sub-Saharan Africa,Nigeria,Renewable Energy,Non-Concessional Loan,844.15
2019,Sub-Saharan Africa,South Africa,Renewable Energy,Non-Concessional Loan,136.07
2019,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,264.29
2019,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,52.81
2019,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,324.75
2019,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,566.3
2019,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,310.75
2019,South Asia,India,Renewable Energy,Bond,130.25
2019,South Asia,India,Renewable Energy,Bond,86.31
2019,South Asia,Bangladesh,Renewable Energy,Grant,40.36
2019,South Asia,Bangladesh,Renewable Energy,Non-Concessional Loan,242.56
2019,South Asia,Pakistan,Renewable Energy,Bond,1307.19
2019,South Asia,Sri Lanka,Renewable Energy,Equity,395.43
2019,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,109.27
2019,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,336.96
2019,East Asia & Pacific,China,Renewable Energy,Bond,332.34
2019,East Asia & Pacific,Indonesia,Renewable Energy,Equity,972.82
2019,East Asia & Pacific,Indonesia,Renewable Energy,Bond,497.33
2019,East Asia & Pacific,Vietnam,Renewable Energy,Grant,7.1
2019,East Asia & Pacific,Philippines,Renewable Energy,Grant,598.71
2019,East Asia & Pacific,Thailand,Renewable Energy,Bond,192.86
2019,East Asia & Pacific,Thailand,Renewable Energy,Non-Concessional Loan,213.47
2019,Latin America & Caribbean,Brazil,Renewable Energy,Bond,139.22
2019,Latin America & Caribbean,Mexico,Renewable Energy,Non-Concessional Loan,21.66
2019,Latin America & Caribbean,Colombia,Renewable Energy,Equity,22.4
2019,Latin America & Caribbean,Colombia,Renewable Energy,Equity,48.76
2019,Latin America & Caribbean,Chile,Renewable Energy,Equity,743.63
2019,Latin America & Caribbean,Argentina,Renewable Energy,Bond,336.1
2019,Latin America & Caribbean,Argentina,Renewable Energy,Non-Concessional Loan,210.39
2019,Europe & Central Asia,Turkey,Renewable Energy,Bond,983.51
2019,Europe & Central Asia,Ukraine,Renewable Energy,Equity,233.81
2019,Europe & Central Asia,Ukraine,Renewable Energy,Grant,112.69
2019,Europe & Central Asia,Poland,Renewable Energy,Equity,429.84
2019,Europe & Central Asia,Poland,Renewable Energy,Equity,293.73
2019,Europe & Central Asia,Romania,Renewable Energy,Equity,40.75
2019,Europe & Central Asia,Kazakhstan,Renewable Energy,Non-Concessional Loan,29.93
2019,Europe & Central Asia,Kazakhstan,Renewable Energy,Grant,168.36
2019,Middle East & North Africa,Morocco,Renewable Energy,Non-Concessional Loan,696.77
2019,Middle East & North Africa,Morocco,Renewable Energy,Bond,249.19
2019,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,547.43
2019,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,388.17
2019,Middle East & North Africa,Jordan,Renewable Energy,Equity,81.29
2019,Middle East & North Africa,Jordan,Renewable Energy,Equity,1482.26
2019,Middle East & North Africa,Tunisia,Renewable Energy,Bond,14.19
2019,Middle East & North Africa,Tunisia,Renewable Energy,Non-Concessional Loan,349.14
2020,Sub-Saharan Africa,Kenya,Renewable Energy,Grant,69.78
2020,Sub-Saharan Africa,Nigeria,Renewable Energy,Equity,1410.37
2020,Sub-Saharan Africa,Nigeria,Renewable Energy,Bond,116.46
2020,Sub-Saharan Africa,South Africa,Renewable Energy,Bond,8.59
2020,Sub-Saharan Africa,Ethiopia,Renewable Energy,Non-Concessional Loan,893.49
2020,Sub-Saharan Africa,Ethiopia,Renewable Energy,Equity,201.05
2020,Sub-Saharan Africa,Ghana,Renewable Energy,Non-Concessional Loan,82.25
2020,Sub-Saharan Africa,Ghana,Renewable Energy,Non-Concessional Loan,25.7
2020,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,628.61
2020,South Asia,India,Renewable Energy,Equity,720.1
2020,South Asia,Bangladesh,Renewable Energy,Equity,399.38
2020,South Asia,Bangladesh,Renewable Energy,Equity,25.21
2020,South Asia,Pakistan,Renewable Energy,Equity,731.73
2020,South Asia,Pakistan,Renewable Energy,Non-Concessional Loan,333.49
2020,South Asia,Sri Lanka,Renewable Energy,Equity,86.88
2020,South Asia,Nepal,Renewable Energy,Non-Concessional Loan,872.08
2020,South Asia,Nepal,Renewable Energy,Grant,114.05
2020,East Asia & Pacific,China,Renewable Energy,Non-Concessional Loan,22.21
2020,East Asia & Pacific,Indonesia,Renewable Energy,Non-Concessional Loan,1890.64
2020,East Asia & Pacific,Vietnam,Renewable Energy,Grant,17.47
2020,East Asia & Pacific,Vietnam,Renewable Energy,Equity,82.55
2020,East Asia & Pacific,Philippines,Renewable Energy,Non-Concessional Loan,163.86
2020,East Asia & Pacific,Thailand,Renewable Energy,Equity,28.8
2020,East Asia & Pacific,Thailand,Renewable Energy,Equity,52.65
2020,Latin America & Caribbean,Brazil,Renewable Energy,Equity,25.63
2020,Latin America & Caribbean,Mexico,Renewable Energy,Grant,59.04
2020,Latin America & Caribbean,Colombia,Renewable Energy,Equity,400.08
2020,Latin America & Caribbean,Colombia,Renewable Energy,Equity,172.81
2020,Latin America & Caribbean,Chile,Renewable Energy,Non-Concessional Loan,9.19
2020,Latin America & Caribbean,Argentina,Renewable Energy,Grant,19.2
2020,Latin America & Caribbean,Argentina,Renewable Energy,Non-Concessional Loan,1161.78
2020,Europe & Central Asia,Turkey,Renewable Energy,Equity,36.68
2020,Europe & Central Asia,Ukraine,Renewable Energy,Equity,311.56
2020,Europe & Central Asia,Poland,Renewable Energy,Grant,28.07
2020,Europe & Central Asia,Romania,Renewable Energy,Bond,699.88
2020,Europe & Central Asia,Kazakhstan,Renewable Energy,Grant,648.2
2020,Europe & Central Asia,Kazakhstan,Renewable Energy,Non-Concessional Loan,239.83
2020,Middle East & North Africa,Morocco,Renewable Energy,Equity,94.23
2020,Middle East & North Africa,Egypt,Renewable Energy,Non-Concessional Loan,377.94
2020,Middle East & North Africa,Egypt,Renewable Energy,Bond,695.22
2020,Middle East & North Africa,Jordan,Renewable Energy,Grant,415.25
2020,Middle East & North Africa,Jordan,Renewable Energy,Bond,391.46
2020,Middle East & North Africa,Tunisia,Renewable Energy,Equity,433.82
2020,Middle East & North Africa,Tunisia,Renewable Energy,Equity,78.05
2021,Sub-Saharan Africa,Kenya,Renewable Energy,Non-Concessional Loan,59.16
2021,Sub-Saharan Africa,Nigeria,Renewable Energy,Non-Concessional Loan,490.65
2021,Sub-Saharan Africa,Nigeria,Renewable Energy,Non-Concessional Loan,202.93
2021,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,432.5
2021,Sub-Saharan Africa,Ethiopia,Renewable Energy,Non-Concessional Loan,112.76
2021,Sub-Saharan Africa,Ghana,Renewable Energy,Equity,246.39
2021,Sub-Saharan Africa,Ghana,Renewable Energy,Bond,191.99
2021,Sub-Saharan Africa,Tanzania,Renewable Energy,Bond,611.46
2021,South Asia,India,Renewable Energy,Non-Concessional Loan,191.14
2021,South Asia,Bangladesh,Renewable Energy,Non-Concessional Loan,300.89
2021,South Asia,Bangladesh,Renewable Energy,Equity,285.93
2021,South Asia,Pakistan,Renewable Energy,Equity,150.74
2021,South Asia,Pakistan,Renewable Energy,Equity,330.07
2021,South Asia,Sri Lanka,Renewable Energy,Bond,346.5
2021,South Asia,Nepal,Renewable Energy,Equity,427.08
2021,East Asia & Pacific,China,Renewable Energy,Grant,428.53
2021,East Asia & Pacific,Indonesia,Renewable Energy,Bond,761.06
2021,East Asia & Pacific,Indonesia,Renewable Energy,Equity,124.82
2021,East Asia & Pacific,Vietnam,Renewable Energy,Equity,91.2
2021,East Asia & Pacific,Philippines,Renewable Energy,Non-Concessional Loan,412.59
2021,East Asia & Pacific,Philippines,Renewable Energy,Equity,716.93
2021,East Asia & Pacific,Thailand,Renewable Energy,Equity,297.42
2021,Latin America & Caribbean,Brazil,Renewable Energy,Equity,205.42
2021,Latin America & Caribbean,Brazil,Renewable Energy,Non-Concessional Loan,836.56
2021,Latin America & Caribbean,Mexico,Renewable Energy,Grant,8.12
2021,Latin America & Caribbean,Mexico,Renewable Energy,Grant,278.69
