year,region,country,sector,instrument_type,amount_usd_mn
2019,East Asia & Pacific,Indonesia,Cross-cutting,Grant,15.99
2019,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.26
2017,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,1.1
2015,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.23
2014,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.03
2013,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.06
2013,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.82
2019,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.67
2018,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.11
2017,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.59
2016,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.76
2015,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.85
2013,South Asia,Bangladesh,Energy Efficiency,Grant,0.73
2020,South Asia,Bangladesh,Energy Efficiency,Grant,0.05
2018,South Asia,Bangladesh,Energy Efficiency,Grant,2.29
2017,South Asia,Bangladesh,Energy Efficiency,Grant,0.11
2016,South Asia,Bangladesh,Energy Efficiency,Grant,0.19
2015,South Asia,Bangladesh,Energy Efficiency,Grant,0.16
2013,Middle East & North Africa,Tunisia,Cross-cutting,Grant,6.75
2022,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.26
2021,Middle East & North Africa,Tunisia,Cross-cutting,Grant,2.81
2020,Middle East & North Africa,Tunisia,Cross-cutting,Grant,1.17
2019,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.03
2018,Middle East & North Africa,Tunisia,Cross-cutting,Grant,1.53
2017,Middle East & North Africa,Tunisia,Cross-cutting,Grant,1.95
2016,Middle East & North Africa,Tunisia,Cross-cutting,Grant,4.07
2015,Middle East & North Africa,Tunisia,Cross-cutting,Grant,4.16
2013,South Asia,Bangladesh,Cross-cutting,Grant,1106.68
2022,South Asia,Bangladesh,Cross-cutting,Grant,3233.99
2021,South Asia,Bangladesh,Cross-cutting,Grant,2914.71
2020,South Asia,Bangladesh,Cross-cutting,Grant,2844.62
2019,South Asia,Bangladesh,Cross-cutting,Grant,2175.07
2018,South Asia,Bangladesh,Cross-cutting,Grant,2029.89
2017,South Asia,Bangladesh,Cross-cutting,Grant,1953.34
2016,South Asia,Bangladesh,Cross-cutting,Grant,1027.06
2015,South Asia,Bangladesh,Cross-cutting,Grant,962.15
2013,Latin America & Caribbean,Chile,Energy Efficiency,Grant,0.36
2017,Latin America & Caribbean,Chile,Energy Efficiency,Grant,0.09
2016,Latin America & Caribbean,Chile,Energy Efficiency,Grant,0.29
2015,Latin America & Caribbean,Chile,Energy Efficiency,Grant,0.24
2021,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,10.38
2020,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,13.21
2019,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,9.69
2018,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,8.91
2017,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,21.01
2016,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,9.4
2015,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,2.23
2014,Sub-Saharan Africa,Nigeria,Climate Adaptation,Grant,1.59
2013,Latin America & Caribbean,Chile,Energy Efficiency,Grant,49.34
2017,Latin America & Caribbean,Chile,Energy Efficiency,Grant,39.21
2016,Latin America & Caribbean,Chile,Energy Efficiency,Grant,39.49
2015,Latin America & Caribbean,Chile,Energy Efficiency,Grant,35.75
2013,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.65
2022,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,1.17
2021,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,1.08
2020,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,1.15
2019,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,1.11
2018,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.6
2017,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.49
2016,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.41
2015,Europe & Central Asia,Kazakhstan,Cross-cutting,Grant,0.6
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,4.8
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,6.44
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,7.13
2014,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,6.53
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.72
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,6.18
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,6.24
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.17
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,5.04
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,1197.68
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,703.19
2014,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,870.02
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,858.12
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,671.04
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,527.23
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,1218.36
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,1123.46
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,1534.06
2019,South Asia,India,Cross-cutting,Concessional Loan,2.91
2022,South Asia,India,Cross-cutting,Concessional Loan,2.05
2021,South Asia,India,Cross-cutting,Concessional Loan,6.78
2013,Middle East & North Africa,Egypt,Cross-cutting,Grant,66.76
2022,Middle East & North Africa,Egypt,Cross-cutting,Grant,5.02
2021,Middle East & North Africa,Egypt,Cross-cutting,Grant,64.81
2020,Middle East & North Africa,Egypt,Cross-cutting,Grant,180.99
2019,Middle East & North Africa,Egypt,Cross-cutting,Grant,129.89
2018,Middle East & North Africa,Egypt,Cross-cutting,Grant,38.19
2017,Middle East & North Africa,Egypt,Cross-cutting,Grant,13.79
2016,Middle East & North Africa,Egypt,Cross-cutting,Grant,17.0
2014,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.29
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.53
2017,Latin America & Caribbean,Colombia,Cross-cutting,Grant,304.53
2016,Latin America & Caribbean,Colombia,Cross-cutting,Grant,293.43
2015,Latin America & Caribbean,Colombia,Cross-cutting,Grant,381.49
2014,Latin America & Caribbean,Colombia,Cross-cutting,Grant,322.16
2013,Latin America & Caribbean,Colombia,Cross-cutting,Grant,293.48
2022,Latin America & Caribbean,Colombia,Cross-cutting,Grant,568.8
2021,Latin America & Caribbean,Colombia,Cross-cutting,Grant,673.18
2020,Latin America & Caribbean,Colombia,Cross-cutting,Grant,558.76
2019,Latin America & Caribbean,Colombia,Cross-cutting,Grant,433.25
2016,Middle East & North Africa,Egypt,Cross-cutting,Grant,1989.34
2015,Middle East & North Africa,Egypt,Cross-cutting,Grant,2294.68
2014,Middle East & North Africa,Egypt,Cross-cutting,Grant,3164.73
2013,Middle East & North Africa,Egypt,Cross-cutting,Grant,5166.02
2022,Middle East & North Africa,Egypt,Cross-cutting,Grant,5018.09
2021,Middle East & North Africa,Egypt,Cross-cutting,Grant,5307.87
2020,Middle East & North Africa,Egypt,Cross-cutting,Grant,543.78
2019,Middle East & North Africa,Egypt,Cross-cutting,Grant,651.02
2013,East Asia & Pacific,Indonesia,Cross-cutting,Grant,5.18
2022,East Asia & Pacific,Indonesia,Cross-cutting,Grant,4.17
2021,East Asia & Pacific,Indonesia,Cross-cutting,Grant,3.62
2020,East Asia & Pacific,Indonesia,Cross-cutting,Grant,3.29
2019,East Asia & Pacific,Indonesia,Cross-cutting,Grant,3.37
2018,East Asia & Pacific,Indonesia,Cross-cutting,Grant,2.75
2017,East Asia & Pacific,Indonesia,Cross-cutting,Grant,1.86
2016,East Asia & Pacific,Indonesia,Cross-cutting,Grant,3.16
2015,East Asia & Pacific,Indonesia,Cross-cutting,Grant,4.21
2017,East Asia & Pacific,China,Energy Efficiency,Grant,481.03
2016,East Asia & Pacific,China,Energy Efficiency,Grant,457.92
2015,East Asia & Pacific,China,Energy Efficiency,Grant,451.3
2014,East Asia & Pacific,China,Energy Efficiency,Grant,525.72
2013,East Asia & Pacific,China,Energy Efficiency,Grant,534.07
2022,East Asia & Pacific,China,Energy Efficiency,Grant,399.76
2021,East Asia & Pacific,China,Energy Efficiency,Grant,474.41
2020,East Asia & Pacific,China,Energy Efficiency,Grant,554.62
2019,East Asia & Pacific,China,Energy Efficiency,Grant,546.38
2014,South Asia,India,Cross-cutting,Grant,100.14
2022,South Asia,India,Cross-cutting,Grant,10.21
2021,South Asia,India,Cross-cutting,Grant,10.33
2020,South Asia,India,Cross-cutting,Grant,54.64
2019,South Asia,India,Cross-cutting,Grant,0.43
2018,South Asia,India,Cross-cutting,Grant,70.71
2017,South Asia,India,Cross-cutting,Grant,67.25
2013,South Asia,Pakistan,Cross-cutting,Grant,196.89
2022,South Asia,Pakistan,Cross-cutting,Grant,240.75
2021,South Asia,Pakistan,Cross-cutting,Grant,191.82
2020,South Asia,Pakistan,Cross-cutting,Grant,147.93
2019,South Asia,Pakistan,Cross-cutting,Grant,127.56
2018,South Asia,Pakistan,Cross-cutting,Grant,160.61
2017,South Asia,Pakistan,Cross-cutting,Grant,239.1
2016,South Asia,Pakistan,Cross-cutting,Grant,149.85
2015,South Asia,Pakistan,Cross-cutting,Grant,179.76
2021,East Asia & Pacific,Thailand,Cross-cutting,Grant,43.45
2020,East Asia & Pacific,Thailand,Cross-cutting,Grant,43.34
2019,East Asia & Pacific,Thailand,Cross-cutting,Grant,41.16
2018,East Asia & Pacific,Thailand,Cross-cutting,Grant,22.69
2017,East Asia & Pacific,Thailand,Cross-cutting,Grant,27.17
2015,East Asia & Pacific,Thailand,Cross-cutting,Grant,21.45
2014,East Asia & Pacific,Thailand,Cross-cutting,Grant,29.13
2013,East Asia & Pacific,Thailand,Cross-cutting,Grant,20.62
2015,South Asia,Pakistan,Energy Efficiency,Grant,0.1
2014,South Asia,Pakistan,Energy Efficiency,Grant,0.12
2013,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.08
2018,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.66
2017,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.11
2016,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.08
2015,Middle East & North Africa,Morocco,Energy Efficiency,Grant,0.11
2014,South Asia,India,Cross-cutting,Grant,0.02
2013,South Asia,India,Cross-cutting,Grant,0.05
2022,South Asia,India,Cross-cutting,Grant,0.13
2021,South Asia,India,Cross-cutting,Grant,0.19
2020,South Asia,India,Cross-cutting,Grant,0.09
2019,South Asia,India,Cross-cutting,Grant,0.12
2018,South Asia,India,Cross-cutting,Grant,0.14
2017,South Asia,India,Cross-cutting,Grant,0.01
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,10.6
2022,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,6.09
2021,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,7.49
2020,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,8.84
2019,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,7.97
2013,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,2.03
2022,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,0.51
2020,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,4.85
2019,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,12.14
2018,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,6.54
2017,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,3.06
2016,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,3.92
2015,Middle East & North Africa,Egypt,Cross-cutting,Concessional Loan,0.74
2022,South Asia,India,Cross-cutting,Grant,0.38
2021,South Asia,India,Cross-cutting,Grant,1.09
2020,South Asia,India,Cross-cutting,Grant,0.81
2019,South Asia,India,Cross-cutting,Grant,2.15
2018,South Asia,India,Cross-cutting,Grant,1.17
2016,South Asia,India,Cross-cutting,Grant,0.71
2015,South Asia,India,Cross-cutting,Grant,1.08
2021,Latin America & Caribbean,Argentina,Cross-cutting,Grant,1.11
2013,Middle East & North Africa,Egypt,Climate Adaptation,Grant,1.37
2022,Middle East & North Africa,Egypt,Climate Adaptation,Grant,4.69
2021,Middle East & North Africa,Egypt,Climate Adaptation,Grant,7.38
2020,Middle East & North Africa,Egypt,Climate Adaptation,Grant,6.33
2019,Middle East & North Africa,Egypt,Climate Adaptation,Grant,4.79
2018,Middle East & North Africa,Egypt,Climate Adaptation,Grant,4.75
2017,Middle East & North Africa,Egypt,Climate Adaptation,Grant,3.79
2017,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.28
2016,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.38
2015,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.39
2014,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.32
2013,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.22
2022,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.69
2021,Latin America & Caribbean,Mexico,Cross-cutting,Grant,1.08
2020,Latin America & Caribbean,Mexico,Cross-cutting,Grant,2.46
2019,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.28
2019,Middle East & North Africa,Morocco,Cross-cutting,Grant,85.06
2018,Middle East & North Africa,Morocco,Cross-cutting,Grant,83.38
2017,Middle East & North Africa,Morocco,Cross-cutting,Grant,70.64
2016,Middle East & North Africa,Morocco,Cross-cutting,Grant,67.65
2015,Middle East & North Africa,Morocco,Cross-cutting,Grant,47.09
2014,Middle East & North Africa,Morocco,Cross-cutting,Grant,55.66
2013,Middle East & North Africa,Morocco,Cross-cutting,Grant,49.35
2022,Middle East & North Africa,Morocco,Cross-cutting,Grant,65.09
2021,Middle East & North Africa,Morocco,Cross-cutting,Grant,91.13
2015,Middle East & North Africa,Egypt,Energy Efficiency,Grant,0.69
2014,Middle East & North Africa,Egypt,Energy Efficiency,Grant,0.01
2013,South Asia,India,Cross-cutting,Grant,787.94
2022,South Asia,India,Cross-cutting,Grant,839.49
2021,South Asia,India,Cross-cutting,Grant,898.04
2020,South Asia,India,Cross-cutting,Grant,764.29
2019,South Asia,India,Cross-cutting,Grant,743.86
2018,South Asia,India,Cross-cutting,Grant,743.83
2017,South Asia,India,Cross-cutting,Grant,736.5
2016,South Asia,India,Cross-cutting,Grant,617.58
2015,South Asia,India,Cross-cutting,Grant,696.27
2015,South Asia,Pakistan,Cross-cutting,Concessional Loan,0.57
2022,South Asia,Pakistan,Cross-cutting,Concessional Loan,0.96
2020,South Asia,Pakistan,Cross-cutting,Concessional Loan,6.81
2019,South Asia,Pakistan,Cross-cutting,Concessional Loan,1.74
2018,South Asia,Pakistan,Cross-cutting,Concessional Loan,1.25
2017,South Asia,Pakistan,Cross-cutting,Concessional Loan,3.93
2018,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.06
2020,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.1
2020,East Asia & Pacific,Thailand,Energy Efficiency,Grant,1.66
2019,East Asia & Pacific,Thailand,Energy Efficiency,Grant,1.28
2018,East Asia & Pacific,Thailand,Energy Efficiency,Grant,2.26
2017,East Asia & Pacific,Thailand,Energy Efficiency,Grant,0.93
2016,East Asia & Pacific,Thailand,Energy Efficiency,Grant,2.21
2015,East Asia & Pacific,Thailand,Energy Efficiency,Grant,1.07
2014,East Asia & Pacific,Thailand,Energy Efficiency,Grant,2.01
2013,East Asia & Pacific,Thailand,Energy Efficiency,Grant,4.71
2022,East Asia & Pacific,Thailand,Energy Efficiency,Grant,1.92
2021,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.07
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.09
2019,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.18
2018,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.13
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.09
2016,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.09
2015,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.02
2014,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.11
2013,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.16
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.61
2015,South Asia,Sri Lanka,Climate Adaptation,Grant,11.86
2014,South Asia,Sri Lanka,Climate Adaptation,Grant,24.15
2013,South Asia,Sri Lanka,Climate Adaptation,Grant,28.2
2022,South Asia,Sri Lanka,Climate Adaptation,Grant,11.61
2021,South Asia,Sri Lanka,Climate Adaptation,Grant,12.19
2020,South Asia,Sri Lanka,Climate Adaptation,Grant,16.46
2019,South Asia,Sri Lanka,Climate Adaptation,Grant,18.45
2018,South Asia,Sri Lanka,Climate Adaptation,Grant,19.03
2017,South Asia,Sri Lanka,Climate Adaptation,Grant,30.7
2021,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.03
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.01
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.01
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.02
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.01
2021,Middle East & North Africa,Jordan,Cross-cutting,Grant,0.86
2013,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,1.68
2021,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,0.03
2020,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,0.76
2018,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,0.3
2017,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,0.06
2015,East Asia & Pacific,Vietnam,Climate Adaptation,Grant,0.62
2022,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.54
2014,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.05
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.06
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.09
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.02
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.04
2019,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.12
2018,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.61
2017,Latin America & Caribbean,Colombia,Cross-cutting,Grant,2.62
2016,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.14
2015,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.34
2014,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.91
2013,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.32
2022,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.57
2021,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.3
2022,Latin America & Caribbean,Brazil,Cross-cutting,Grant,1.93
2021,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.34
2020,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.27
2019,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.83
2018,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.5
2017,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.67
2016,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.45
2015,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.29
2017,Europe & Central Asia,Turkey,Climate Adaptation,Grant,12.07
2022,Europe & Central Asia,Turkey,Climate Adaptation,Grant,2.15
2021,Europe & Central Asia,Turkey,Climate Adaptation,Grant,2.45
2020,Europe & Central Asia,Turkey,Climate Adaptation,Grant,3.98
2019,Europe & Central Asia,Turkey,Climate Adaptation,Grant,4.15
2013,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,3.93
2022,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,4.81
2021,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,17.64
2020,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,9.18
2019,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,6.02
2018,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,3.38
2017,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,11.41
2016,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,7.12
2015,Sub-Saharan Africa,Tanzania,Energy Efficiency,Grant,10.79
2017,South Asia,India,Cross-cutting,Grant,2.14
2016,South Asia,India,Cross-cutting,Grant,1.96
2015,South Asia,India,Cross-cutting,Grant,2.0
2014,South Asia,India,Cross-cutting,Grant,2.32
2013,South Asia,India,Cross-cutting,Grant,3.02
2022,South Asia,India,Cross-cutting,Grant,0.83
2021,South Asia,India,Cross-cutting,Grant,1.0
2020,South Asia,India,Cross-cutting,Grant,1.38
2019,South Asia,India,Cross-cutting,Grant,1.71
2016,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,0.01
2018,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,0.04
2017,Europe & Central Asia,Turkey,Climate Adaptation,Grant,0.16
2013,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,10.01
2022,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,9.79
2021,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,7.27
2020,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,8.72
2019,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,12.17
2018,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,4.93
2017,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,12.32
2016,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,22.78
2015,South Asia,Sri Lanka,Cross-cutting,Concessional Loan,5.82
2022,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.03
2019,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.19
2018,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.02
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.01
2016,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.05
2015,Sub-Saharan Africa,Kenya,Cross-cutting,Grant,0.06
2013,Middle East & North Africa,Jordan,Cross-cutting,Grant,60.85
2022,Middle East & North Africa,Jordan,Cross-cutting,Grant,58.59
2021,Middle East & North Africa,Jordan,Cross-cutting,Grant,66.9
2020,Middle East & North Africa,Jordan,Cross-cutting,Grant,56.62
